University name , Link , Location, Number of Students 
Kabardino-Balkarian State Agricultural University,https://www.kbgau.ru,Nalchik, Not reported
North-Eastern State University,https://www.svgu.ru,Magadan,2999
The Rostov State Conservatoire,https://rostcons.ru,Rostov-on-Don,999
Vyatka State Humanities University,https://vggu.ru,Kirov ...,14999
Izhevsk State Agricultural Academy,https://izhgsha.ru,Izhevsk, Not reported
Kamchatka State Technical University,https://kamchatgtu.ru,Petropavlovsk-Kamchatsky,3999
Magnitogorsk State Conservatory,http://www.magkmusic.com,Magnitogorsk, Not reported
Chuvash State Agricultural Academy,http://www.academy21.ru,Cheboksary, Not reported
Nizhny Novgorod State Agricultural Academy,https://nnsaa.ru,Nizhny Novgorod,6999
Tambov State Musical-Pedagogical Institute named after S.V. Rachmaninov,https://rachmaninov.ru,Tambov,999
Far East State Agrarian University,https://www.dalgau.ru,Blagoveshchensk,4999
Ivanovo State Academy of Agriculture,http://www.ivgsha.ru,Ivanovo, Not reported
Ural State Conservatory,https://www.uralconsv.org,Yekaterinburg, Not reported
Arctic State Agrotechnological University,https://agatu.ru,Yakutsk, Not reported
Penza State Agricultural Academy,https://pgau.ru,Penza, Not reported
Angarsk State Technical University,http://angtu.ru,Angarsk,2999
Tchaikovsky State Institute of Physical Culture,http://www.chifk.ru,Chaykovsky, Not reported
Moscow University Touro,https://touro.ru,Moscow, Not reported
Dagestan State Agrarian University,https://xn--80aaiac8g.xn--p1ai,Makhachkala, Not reported
Gorsky State Agrarian University,https://gorskigau.ru,Vladikavkaz,3999
Institute of International Business Education,http://www.imbo.ru,Moscow ...,250
Chelyabinsk State Agroengineering Academy,http://csaa.ru,Chelyabinsk,5999
Nevsky Institute of Language and Culture,http://niyak.spb.ru,Saint Petersburg,999
Pushchino State Institute of Natural Science,http://pushgu.ru,Pushchino,250
International University of Fundamental Studies  St. Petersburg,https://www.iufs.edu,Moscow ...,499
Vladikavkaz Institute of Economics  Management and Law,http://www.viu-online.ru,Vladikavkaz,999
Astrakhan State Conservatory,https://astracons.ru,Astrakhan,250
Samara Academy of Humanities,https://www.samgum.ru,Samara ...,499
